normal,DP,DP + ECP
22048.75801595512,37565.7013085517,19749.368931207217
29898.76931704451,31417.933372734467,21818.897113810042
8720.407534075317,43861.8828844489,23306.492218900206
14674.53303571596,21407.779393948273,11529.898727803047
12399.378229545402,23152.86388001563,16357.932697633154
2562.8705210870276,9499.666084572184,15394.81568120624
8310.188519664624,16363.743109640645,28350.596073087327
1854.1048439806248,6614.353141449555,7622.171354653169
7968.357909766237,16318.839628105005,21386.849476594252
7882.575977526747,13023.408265680846,21627.50713200529
14249.216853502208,27815.489234637902,9355.096443814708
5889.159040287304,16226.673309899861,17211.46396329063
12207.585832834477,16434.598234346482,9380.488612873305
9346.655594763122,21043.850495166764,34589.17250221977
2866.7277257188525,23283.605761812894,15013.569680078777
1830.4949842128356,32925.14591317557,19069.996391315777
21173.71473006497,38218.15495988794,26734.029194451603
12431.50633801512,11176.979568724792,28992.411429742402
6012.114185316699,32714.304419297157,31874.935459934735
1910.3985317310885,21762.32110832485,16353.706471695912
20359.220885922787,21270.268181633975,13925.047177022432
16077.39047142186,34061.885563626376,17672.28913411742
11336.55200762654,16754.477666422077,5838.668182790849
20234.588364011255,29870.06881618474,13318.870469894515
10983.911850827166,24941.866947021907,15300.782732858872
5247.319436044212,18324.312223903307,15228.5264692879
9231.658164285367,4384.833580643689,22512.28028848333
17469.534047520603,21540.19749306635,17876.407999231815
16959.827880454442,34680.27400538586,41244.12182169245
2018.7632674620468,24672.332904044462,33886.902732200455
9637.007090836843,22233.8807278168,17249.13401756273
16031.294191205647,30223.116372373843,30037.676941599046
15724.71774477329,44188.15847799077,38786.031193049785
4146.976069731489,44642.99602909045,19713.794250390674
33299.21012374663,26667.554775524233,15091.970411986902
2508.1559032881664,24783.858680897178,17670.641739380968
17760.022203155324,30151.659271038454,11090.594469483276
5963.612060565434,23765.39117504454,13655.311829362869
16638.300582244865,34917.292417843564,26863.126311087242
5262.337385405737,35087.427881608586,24692.12759444387
18283.157169140337,33770.702413390325,20050.726851502746
5188.475921544267,19428.617830798827,22332.461018805843
7142.233958894381,21187.927262235502,16798.62606007194
13857.401721512095,26930.51710677354,33204.118827577004
1698.1662333310774,26226.320900129667,14898.439862783529
3568.4360155816707,26344.04144491357,32926.83313332454
4641.935903738716,18500.291083091226,24228.866779680695
18428.57234371836,22409.812458017066,14947.65497518596
9658.073633749775,19771.468426660587,14725.321076897251
4529.382140719833,25198.319094557453,28128.257956227582
